id,trigger,conditions,script,text,options,notes
# ================ Faction relationship entries ================
tstHPHeliopauseRepGood_4,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == tstHP_heliopause_faction",,"Tales of wondrous planets and exotic phenomena explored by your fleet are a cornerstone of $faction marketing efforts. Directors offer you hospitality whenever your $shipOrFleet docks, and multiple R&D projects hinge on data you gather.",,1
tstHPHeliopauseRepGood_3,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == tstHP_heliopause_faction",,"Guides on data acquisition and frontier-friendly behaviour included with new $faction ships include examples taken from your $shipOrFleet. Senior staff plan ways to leverage their connections to you for advancement.",,1
tstHPHeliopauseRepGood_2,RelationshipLevelDesc,"$faction.rel == WELCOMING
 $faction.id == tstHP_heliopause_faction",,"$faction staff welcome your $shipOrFleet's arrival in-system, and your data quality and reliability is highly-rated.",,1
tstHPHeliopauseRepGood_1,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == tstHP_heliopause_faction",,"You are considered a reliable customer by $faction. Your $shipOrFleet is registered on a mailing list for updated brochures.",,1
tstHPHeliopauseRepNone,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == tstHP_heliopause_faction",,"$faction is not particularly aware of your actions, for good or ill. You are just another prospective customer.",,1
tstHPHeliopauseRepBad_1,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == tstHP_heliopause_faction",,"Though nothing has been proven (yet), $faction officials tend to view you with distrust. Affiliated fleets keep their guard around you, and site security tracks your fleet when you are in-system.",,1
tstHPHeliopauseRepBad_2,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == tstHP_heliopause_faction",,"Though $faction is not in a financial position to turn away customers, in your case they have made an exception.",,1
tstHPHeliopauseRepBad_3,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == tstHP_heliopause_faction",,"$faction actively expends its limited resources gathering documentation and evidence on your crimes, to submit to the Domain once the gate network is restored. Their fleets consider you hostile.",,1
tstHPHeliopauseRepBad_4,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == tstHP_heliopause_faction",,"Every $faction ship sold has transponder codes associated with your $shipOrFleet in its database, automatically IFF-flagged as hostile.",,1

# ================ Starting the Heliopause data gathering event ================
tstHPCEOGreetFirst,PickGreeting,"$id == tstHP_heliopause_ceo score:1000
!$HeliopauseCEOGreet","$HeliopauseCEOGreet = true
BeginConversation tstHP_heliopause_ceo
ShowPersonVisual
","There is no secretary or pseudo-AI call-handling; instead, a lazily-rotating corporate logo quickly resolves.

The office revealed resembles an Academician's more than a typical CEOs. The desk, whilst genuine wood, is clearly well-worn. Its grooved surface is covered in assorted cables and datapads, most of which are themselves obscured by a clutter of holoprojections. A few appear to flicker and fuzz, auto-obscured by the feed's privacy algorithms. Behind the forest of data is wide window to the stormy Ailmar sky, itself half-blocked by cabinets and shelving units. ",tstHPCEOGreetFirst1:Continue,Introduction to Heliopause on visiting Ailmar.
